"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUncitablePublications";"NrUncitablePublicationsPerYear";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear";"NrTotalUncitableOutputs";"NrTotalUncitableOutputsPerYear";"NrCitablePublications";"NrCitablePublicationsPerYear";"NrCitationsTotal";"NrCitationsPerPublication";"YearFirstCitablePublication"
142116;2012;2012-08-01;548;1.5013698630137;2014-01-31;"Completed";"Careers";74250;49454.8357664234;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;0;0;1;0.666058394160584;2013-10-04;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;1;0.666058394160584;1;0.666058394160583;0;0;NA;NA;NA
140736;2012;2012-04-01;1094;2.9972602739726;2015-03-31;"Completed";"Projects";289536;96600.2193784278;144768;48300.1096892139;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Cardiovascular Research";2;0.6672760511883;7;2.33546617915905;14;4.6709323583181;2012-05-09;2;0.6672760511883;2014;0;0;NA;1;0.33363802559415;2014-10-30;4;1.3345521023766;2014;40;13.345521023766;NA;22;7.3400365630713;2;0.6672760511883;2012;63;21.0191956124314;45;15.0137111517368;18;6.0054844606947;NA;NA;2012
143844;2012;2012-10-01;729;1.9972602739726;2014-09-30;"Completed";"Projects";355546;178016.858710562;88886.5;44504.2146776406;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";4;2.00274348422497;1;0.500685871056241;7;3.50480109739369;2013-01-25;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;1.00137174211248;NA;0;0;0;0;NA;9;4.50617283950617;7;3.50480109739369;2;1.00137174211248;NA;NA;NA
139309;2012;2013-03-01;1797;4.92328767123288;2018-01-31;"Completed";"Programmes";640027;129999.919309961;106671.166666667;21666.6532183268;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Social Medicine";"Public Health and Health Services";6;1.21869782971619;4;0.812465219810796;3;0.609348914858097;2015-09-09;0;0;NA;0;0;NA;0;0;NA;4;0.812465219810796;2016;13;2.64051196438509;2013;6;1.21869782971619;0;0;NA;20;4.06232609905398;13;2.64051196438508;7;1.42181413466889;89;12.7142857142857;2016
145985;2012;2013-12-01;364;0.997260273972603;2014-11-30;"Completed";"Careers";42800;42917.5824175824;0;0;"Institution abroad - Germany";"Germany";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;0;0;3;3.00824175824176;2015-10-17;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1.00274725274725;2016;0;0;0;0;NA;4;4.01098901098901;3;3.00824175824176;1;1.00274725274725;146;146;2016
142800;2012;2012-10-01;546;1.4958904109589;2014-03-31;"Completed";"Careers";75586;50529.1025641026;0;0;"Institution abroad - Germany";"Germany";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;1;0.668498168498168;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
144044;2012;2012-08-01;364;0.997260273972603;2013-07-31;"Completed";"Careers";43900;44020.6043956044;0;0;"Institution abroad - Sweden";"Sweden";"Biology and Medicine";"Clinical Medicine";"Surgery";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1.00274725274725;2013;0;0;0;0;NA;1;1.00274725274725;1;1.00274725274725;0;0;NA;NA;NA
147231;2012;2013-05-01;364;0.997260273972603;2014-04-30;"Completed";"Careers";42395;42511.4697802198;0;0;"Institution abroad";NA;"Biology and Medicine";"General Biology";"Ecology";0;0;0;0;2;2.00549450549451;2013-11-01;0;0;NA;0;0;NA;0;0;NA;1;1.00274725274725;2014;1;1.00274725274725;2015;0;0;0;0;NA;4;4.01098901098901;3;3.00824175824176;1;1.00274725274725;30;30;2015
141618;2012;2012-10-01;1094;2.9972602739726;2015-09-30;"Completed";"Programmes";363362;121231.380255942;181681;60615.6901279708;"Swiss Federal Laboratories for Materials Science and Technology - EMPA";"Switzerland";"Biology and Medicine";"General Biology";"Botany";2;0.6672760511883;10;3.3363802559415;9;3.00274223034735;2013-03-21;2;0.6672760511883;2015;0;0;NA;0;0;NA;2;0.6672760511883;2014;3;1.00091407678245;2015;0;0;0;0;NA;16;5.3382084095064;13;4.33729433272395;3;1.00091407678245;101;33.6666666666667;2015
140700;2012;2012-04-01;1094;2.9972602739726;2015-03-31;"Completed";"Projects";782000;260904.936014625;260666.666666667;86968.3120048751;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Immunology, Immunopathology";3;1.00091407678245;2;0.6672760511883;12;4.0036563071298;2012-05-03;0;0;NA;0;0;NA;0;0;NA;0;0;NA;4;1.3345521023766;2014;0;0;0;0;NA;16;5.3382084095064;12;4.0036563071298;4;1.3345521023766;NA;NA;2014
142747;2012;2012-07-01;364;0.997260273972603;2013-06-30;"Completed";"Careers";48900;49034.3406593407;0;0;"Institution abroad";NA;"Biology and Medicine";"Basic Biological Research";"Cellular Biology, Cytology";0;0;0;0;2;2.00549450549451;2012-10-16;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1.00274725274725;2013;0;0;0;0;NA;3;3.00824175824176;2;2.00549450549451;1;1.00274725274725;NA;NA;2013
145774;2012;2013-07-01;242;0.663013698630137;2014-02-28;"Completed";"Careers";66500;100299.586776859;0;0;"Institution abroad - South Africa";"South Africa";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Infectious Diseases";0;0;7;10.5578512396694;3;4.52479338842975;2014-03-03;2;3.01652892561983;2014;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;3;4.52479338842975;NA;8;12.0661157024793;8;12.0661157024793;0;0;NA;NA;NA
145505;2012;2013-03-01;729;1.9972602739726;2015-02-28;"Completed";"Careers";261425;130891.803840878;261425;130891.803840878;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";1;0.500685871056241;2;1.00137174211248;7;3.50480109739369;2013-09-15;1;0.500685871056241;2014;0;0;NA;0;0;NA;0;0;NA;3;1.50205761316872;2013;0;0;0;0;NA;11;5.50754458161866;8;4.00548696844994;3;1.50205761316873;345;115;2013
144072;2012;2012-10-01;1094;2.9972602739726;2015-09-30;"Completed";"Projects";570301;190274.099634369;285150.5;95137.0498171846;"University of Lausanne - LA";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Immunology, Immunopathology";2;0.6672760511883;4;1.3345521023766;0;0;NA;1;0.33363802559415;2016;0;0;NA;0;0;NA;0;0;NA;6;2.0018281535649;2014;0;0;0;0;NA;7;2.33546617915905;1;0.33363802559415;6;2.0018281535649;940;156.666666666667;2014
143609;2012;2012-11-01;1094;2.9972602739726;2015-10-31;"Completed";"Projects";690000;230210.237659963;76666.6666666667;25578.9152955515;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Immunology, Immunopathology";9;3.00274223034735;6;2.0018281535649;17;5.67184643510055;2012-11-15;1;0.33363802559415;2012;0;0;NA;2;0.6672760511883;2012-11-20;4;1.3345521023766;2012;16;5.3382084095064;2012;2;0.6672760511883;4;1.3345521023766;2014;44;14.6800731261426;30;10.0091407678245;14;4.6709323583181;NA;NA;2012
143944;2012;2012-08-01;364;0.997260273972603;2013-07-31;"Completed";"Careers";65050;65228.7087912088;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"General Biology";"Ecology";0;0;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
144207;2012;2013-02-01;1245;3.41095890410959;2016-06-30;"Completed";"Projects";547330;160462.208835341;109466;32092.4417670683;"University of Neuchatel - NE";"Switzerland";"Biology and Medicine";"General Biology";"Ecology";5;1.46586345381526;0;0;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;11;3.22489959839357;2013;0;0;0;0;NA;11;3.22489959839357;11;3.22489959839357;0;0;NA;NA;NA
145035;2012;2013-11-01;759;2.07945205479452;2015-11-30;"Completed";"Infrastructure";326938;157223.148880105;0;0;"EPF Lausanne - EPFL";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";0;0;1;0.480895915678524;1;0.480895915678524;2014-11-12;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;1;0.480895915678524;1;0.480895915678525;0;0;NA;NA;NA
