GrantNumber;UseInspired_Comment;UseInspired_Inventor;UseInspired_LicenseType;UseInspired_Owner;UseInspired_PatentDecisionDate;UseInspired_PatentNumber;UseInspired_PatentOwnerDescription;UseInspired_PatentStatus;UseInspired_PriorityDate;UseInspired_ReviewerActivityType;UseInspired_Title;UseInspired_Type;UseInspired_Url;UseInspired_Year;UseInspiredId
139246;Echanges sur les résultats de notre recherche pour l'élaboration d'un plan d'action à destination des proches aidants.;;;;;;;;;Other administration / public sector;Office fédéral de la santé publique;Expert/reviewer activity;;2015;E99E7823-779E-4DDA-9B65-8A654525182A
139255;;;;;;;;;;;"Merkblatt Patientenverfügung
elektronische Patientenverfügung
(am Universitätsspital Zürich)";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;AEE97FF5-73F2-40E6-8FC7-6FBC9A8C7236
139255;;;;;;;;;;Other foundations / NGOs;S3 Leitlinie Palliativmedizin: Tanja krones ist Mitglied der S 3 Leitlinien gruppe palliativmedizin für den Bereich Advance Care Planning. Erster Teil Systematic Review;Expert/reviewer activity;http://www.awmf.org/leitlinien/detail/anmeldung/1/ll/128-001OL.html;2013;8269461A-ECAA-4FA2-AC5D-F4B6B5460501
145088;;;Software;;;;;;;;SMIS;Licences (software and other);"https://portal.smis.ch/home.html;jsessionid=ECEB8549EFE9DC0E1368BA3A16120A10";2016;7BEBF96F-8243-459D-9237-F1C6A9AC9D37
145088;;;;;;;;;;;SENS - ein Manual für Fachpersonen. Anleitung zur Verwendung der SENS-Struktur für Assessment, Behandlungsplanung und Evaluation in der Palliative Care;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;42010801-8156-42C6-B133-F7C80C64CCC9
139255;;;;;;;;;;;"anonymisiertes Monitoring ""Patientenwille und Patientenverfügungen""
(Universitätsspital Zürich 2015 / 2016)";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;F0A67A5E-A1C6-46D3-B340-28CFBB936B24
145088;;;;;;;;;;;"""SENS Flyer""
SENS - ein Instrument zur Vorausplanung
Information für Betroffene und Interessierte";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;DD3AF32B-E781-4B7C-AA99-23BA06B58AD1
139255;;;;;;;;;;;Konzeption von Blended learning Aktivitäten USZ, Palliativ.zh.sh;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;BB5F641D-D6CF-4395-8CED-B11E9637B231
139255;"ACP Integration in S3 Leitlinie der Deutschen Gesellschaft für Onkologie ";;;;;;;;;Other administration / public sector;AWMF Leitlinie;Expert/reviewer activity;;2015;AEAB63A8-14C2-4850-AE5D-3CD7A98AE7A5
145088;;;;;;;;;;;Palliative Care CHOP Code according to SENS as basic assessment structure acknowledged;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;6831CD9B-48DA-4CEF-9017-3E023E77096A
145088;;;;;;;;;;;Mousepad für Mitarbeiterinnen des Inselspitals;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;287CAE4D-F5CB-42A1-8686-4E2C2028B019
