Award_InvolvedPerson;Award_Title;Award_Year;AwardId;GrantNumber
"Piguet, Claude; Simond, Lucille";"Front Cover: Cooperative Loading of Multisite Receptors with Lanthanide Containers: an Approach for Organized Luminescent Metallopolymers.
Babel L., Guénée L., Besnard C., Eliseeva S. V., Petoud S.,* Piguet C.,* Chem. Sci. 9, 325-335 (2018).
";2018;8302A6F4-4949-4A3F-B315-1E2EFE54681D;159881
Wuillemin, Natascha;Klaus Kalveram Preis des Arzteverbandes deutscher Allergologen;2013;0CBBD35B-B731-45D2-A22F-09151B6F575A;129828
Luedi Kong, Eva;"Preisträgerin der Leipziger Buchmesse in der Kategorie Übersetzung. 
Eva Lüdi Kong übersetzte aus dem Chinesischen: Die Reise in den Westen.";2017;02269249-E68D-4B1A-988F-4987D41D8A22;141309
Chavez, Myra;Best oral presentation. Women in Autophagy – 3rd Annual Symposium.;2022;267F23A3-EC4B-4312-9BE4-E2FB3DAFDD30;182575
Mercader, Nadia;Cloëtta Prize 2020;2020;89CA1A20-9B4F-4B16-ADCC-F1BF88DCA7F5;182575
Goudeli, Eirini;European Aerosol Conference (EAC), September 1 – 6, 2013, in Prague, Czech Republic where Eirini Goudeli received a Best Poster Award on Aerosol Fundamentals;2013;4F99FCE3-4D16-4F74-9D4E-2CCFFF363F7B;149144
Pérez-Ramírez, Javier;Xingda Lectureship by Peking University;2018;57B8089A-EDEF-4A87-B302-DF0F1DA4CA5D;169679
Suknovic, Nenad;"iGE3 PhD Salary Awards 2016
(2 years of salary)";2016;2D2E5360-CCAA-4411-B111-E5EFE8A1C5C8;169930
Iantchenko, Aylwin;Kyushu University Itoh Project Prize;2019;E378AA42-61E8-4E52-9251-F4ED5622EC08;185080
Tema (Biwole), Arsène;Finalist EPFL MT180 prize;2020;B2C193F6-FDDE-41EE-81CE-1C3494E342CB;185080
Tema (Biwole), Arsène;Ambassador of African youth in Science, Cameroon.;2021;365B9B9D-0F32-4F95-8E2C-4F5A91EE2967;185080
"Bögli, Sabine; Tretter, Christiane";"Fakultätspreis für die Dissertation ";2015;FF6089A1-35D1-41F9-A069-2CCF24F92C3D;146477
Puder, Jardena;"Wyeth Grant Award for top ranking Research Projects for the health of children ";2009;598E7091-ACCD-450C-9275-CF9B77C278D1;116837
"Neuland, Maike Brigitte; Riedo, Andreas; Wurz, Peter";Featured Article, Journal of Mass Spectrometry;2013;5FB85822-8DFD-4BEA-A275-F5E430D0ACC8;140579
Roska, Botond;"Alfred Vogt Award ";2013;95350062-561B-4926-932B-19EDC8E6EE2F;143838
Wehrle-Haller, Bernhard;"grant/award from “La Fondation Gertrude von Meissner” based in Geneva. For the project:” Regulation of endothelial function by metabolic imbalance in Type 1 diabetic patients” ";2019;71531ACF-3546-4BED-8F53-5DA2BEA917C5;170112
Potenza, Duilio Michele;Cardiovascular Research Meeting 2019 in Fribourg, Best oral presentation award;2019;5CC479B0-A7EE-497C-B1F7-28CA4F2A0C6D;179325
